task1	task2	thisN	thisTrialN	thisRepN	T0	T2	T1	lagT0	lagT1	lagT2	responseT1	responseT2	related	dist	key_resp_T1.keys	key_resp_T1.corr	key_resp_T2.keys	key_resp_T2.corr	key_resp_T2.rt	key_resp_T2.duration	press_to_continue.keys	press_to_continue.rt	press_to_continue.duration	key_resp_T1.rt	key_resp_T1.duration	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	trial.thisRepN	trial.thisTrialN	trial.thisN	trial.thisIndex	trials_T0_context.thisRepN	trials_T0_context.thisTrialN	trials_T0_context.thisN	trials_T0_context.thisIndex	trials_T1.thisRepN	trials_T1.thisTrialN	trials_T1.thisN	trials_T1.thisIndex	trials_T2.thisRepN	trials_T2.thisTrialN	trials_T2.thisN	trials_T2.thisIndex	thisRow.t	notes	instructions.started	text_instructions.started	key_resp.started	instructions.stopped	key_resp.keys	key_resp.rt	key_resp.duration	settings.started	settings.stopped	T0_context.started	context_word.started	blankContext.started	context_word.stopped	blankContext.stopped	T0_context.stopped	distractors_T0_T2.started	distractors_T0_T2.stopped	text_distractors_2.started	T1_number.started	text_T1.started	T1_number.stopped	distractors_T1.started	distractors_T1.stopped	T2_probe.started	text_T2.started	T2_probe.stopped	Ask_T1.started	Ask_T1.stopped	trial.key_resp_T1.keys	trial.key_resp_T1.corr	Ask_T2.started	blankT2_1.started	blankT2_1.stopped	text_T2ask.started	key_resp_T2.started	Ask_T2.stopped	trial.key_resp_T2.keys	trial.key_resp_T2.corr	trial.key_resp_T2.rt	trial.key_resp_T2.duration	text_distractors.started	text_distractors_2.stopped	text_T2.stopped	rest.started	text.started	press_to_continue.started	text.stopped	rest.stopped	block.press_to_continue.keys	block.press_to_continue.rt	block.press_to_continue.duration	text_T1.stopped	text_distractors.stopped	blankT1_1.started	text_T1ask.started	key_resp_T1.started	blankT1_1.stopped	trial.key_resp_T1.rt	trial.key_resp_T1.duration	participant	order [1: single-dual or 2: dual-single]	date	expName	psychopyVersion	frameRate	expStart	Column1
single	dual	5	5	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	YNPLRQW												0	0	0	0	0	1	1	1									0	5	5	7	1,26938E+16																	1,26797E+16	1,27603E+16	1,26938E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	6	6	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	YGLMSFQ												0	0	0	0	0	1	1	1									0	6	6	1	1,27762E+16																	1,27636E+16	1,28427E+16	1,27762E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	7	7	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	GQKRPDL												0	0	0	0	0	1	1	1									0	7	7	5	1,28594E+16																	1,28477E+16	1,29272E+16	1,28594E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	8	8	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	VYKXSPC												0	0	0	0	0	1	1	1									0	8	8	2	1,29419E+16																	1,29334E+16	1,301E+15	1,29419E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	9	9	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0	ZTFYDXH												0	0	0	0	0	1	1	1									0	9	9	0	1,30268E+16																	1,30142E+16	1,3093E+16	1,30268E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	1	1	0	NOMBRE	PRISIÓN	5555555	7	3	10	p	p	0		None	0	j	0	6,38566E+15	None						0	0	0	0	0	1	1	1																																									1,3116E+16	1,31161E+15	None	0	1,31162E+16	1,31193E+16	1,41267E+16	1,41267E+16	1,41267E+16	1,47773E+16	j	0	6,38566E+15	None																				Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	GQKRPDL												0	0	0	0	0	2	2	2	0	5	5	5	0	0	0	0					1,74512E+16											1,47797E+16	1,47938E+16	1,57764E+16	1,57941E+16	1,68368E+16	1,67617E+15	1,71967E+16	1,72771E+16	1,72107E+15	1,72871E+16	1,72944E+16	1,73615E+16	1,74391E+16	1,74392E+16																																					Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	0	0	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	WMYFTGJ												0	0	0	0	0	2	2	2									0	0	0	6	1,76042E+16																	1,76012E+16	1,76104E+16	1,76042E+16						1,74489E+16	1,74512E+16	1,75275E+15																																		Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	1	1	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	HQTYPJM												0	0	0	0	0	2	2	2									0	1	1	9	1,76295E+16																	1,76126E+16	1,76945E+16	1,76295E+16																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
single	dual	2	2	0	INICIO	XPIESXX	4444444	7	1	12	i	p	0	YGLMSFQ												0	0	0	0	0	2	2	2									0	2	2	1	1,77104E+15																	1,7697E+16	1,77777E+16	1,77104E+15																																										Prueba_Conductual_1	1	2024-09-08_19h04.40.217	AB	202421	6,00199E+15	2024-09-08 19h05.17.898834 +0200	
